incident_id,description,system,version,category,severity,target_resolution_id,is_successful
DS-1110,Print spooler service hung for pharmacy chart printer. Workstation reboot did not fix.,PrintManager,1.4,Infrastructure,Low,KA-002,1
DS-1086,Recurring issue: AuthGuard directory synchronizer timeout on domain controller. Workstation reboot did not fix.,AuthGuard,2.8,Authentication,High,KA-012,1
DS-1024,Reported by Nursing: Lab database queries timing out for pathology lookup. Please resolve immediately.,LabSys,5.4,Database,High,KA-022,1
DS-1036,eMAR order confirmation buffer timeout. Please resolve immediately.,MedFlow,3.2,Application,High,KA-008,1
DS-1055,PACS CT scan DICOM image frame drop during viewing. Please resolve immediately.,PACSView,4.1,Performance,Medium,KA-019,1
DS-1020,STAT: Lab result screen blank on legacy workstation running LabSys 5.1. Workstation reboot did not fix.,LabSys,5.1,Application,Medium,KA-003,1
DS-1064,Reported by Nursing: PACS DICOM streaming gateway daemon frozen. Needs immediate IT response.,PACSView,4.1,Integration,High,KA-021,1
DS-1001,Outpatient clinic lab result module unresponsive. Workstation reboot did not fix.,LabSys,5.4,Application,High,KA-014,1
DS-1095,Recurring issue: HL7 ORU_R01 lab message queue stuck in pending state.,HL7Router,3.5,Integration,High,KA-031,1
DS-1074,Reported by Nursing: Patient registration screen freezing during intake.,EHRCore,6.0,UI/Application,Medium,KA-005,1
DS-1100,Recurring issue: Print spooler service hung for pharmacy chart printer. Workstation reboot did not fix.,PrintManager,1.4,Infrastructure,Low,KA-002,1
DS-1071,Clinical Alert: Patient admission intake screen non-responsive. Please resolve immediately.,EHRCore,6.0,UI/Application,Medium,KA-005,1
DS-1033,Reported by Nursing: LabSys database query threshold exceeded 15 seconds.,LabSys,5.4,Database,High,KA-022,1
DS-1028,Shift A Ticket: Database connection timeout on LabSys clinical database server. Please resolve immediately.,LabSys,5.4,Database,High,KA-022,1
DS-1026,Shift A Ticket: LabSys SQL query thread pool deadlock.,LabSys,5.4,Database,High,KA-022,1
DS-1035,Urgent: eMAR order confirmation buffer timeout. Affecting patient care.,MedFlow,3.2,Application,High,KA-008,1
DS-1102,Reported by Nursing: Nursing station lab label printer spooler error. Affecting patient care.,PrintManager,1.4,Infrastructure,Low,KA-002,1
DS-1029,STAT: Database connection timeout on LabSys clinical database server. Needs immediate IT response.,LabSys,5.4,Database,High,KA-022,1
DS-1070,Patient demographics entry screen locked up. Needs immediate IT response.,EHRCore,6.0,UI/Application,Medium,KA-005,1
DS-1018,Urgent: Lab result screen blank on legacy workstation running LabSys 5.1. Affecting patient care.,LabSys,5.1,Application,Medium,KA-003,1
DS-1013,Clinical Alert: Lab result screen blank on legacy workstation running LabSys 5.1. Needs immediate IT response.,LabSys,5.1,Application,Medium,KA-003,1
DS-1107,Reported by Nursing: Nursing station lab label printer spooler error. Affecting patient care.,PrintManager,1.4,Infrastructure,Low,KA-002,1
DS-1021,Recurring issue: Legacy station lab result cache overflow in version 5.1. Workstation reboot did not fix.,LabSys,5.1,Application,Medium,KA-003,1
DS-1019,Reported by Nursing: Legacy LabSys 5.1 client local cache corrupted. Affecting patient care.,LabSys,5.1,Application,Medium,KA-003,1
