incident_id,system,system_version,category,symptom,created_at,baseline_resolved_at,baseline_ttr_minutes,assisted_resolved_at,assisted_ttr_minutes,resolution,resolution_source,recurring_group,knowledge_article_id,resolution_success,feedback_score,dataset_label
RDS-5145,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-01-01T18:00:00,2025-01-01T18:46:06,46.1,2025-01-01T18:14:06,14.1,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.86,SYNTHETIC_BENCHMARK
RDS-5175,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-06-08T12:00:00,2025-06-08T12:48:42,48.7,2025-06-08T12:21:24,21.4,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.95,SYNTHETIC_BENCHMARK
RDS-5208,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-05-02T09:00:00,2025-05-02T09:17:18,17.3,2025-05-02T09:07:42,7.7,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.92,SYNTHETIC_BENCHMARK
RDS-5247,EHRCore,6.0,UI/Application,Patient registration screen freeze or hang during intake,2025-06-17T19:00:00,2025-06-17T19:31:36,31.6,2025-06-17T19:08:00,8.0,EHR Core UI Thread Recycling,knowledge_article,RG-005,KA-005,1,0.73,SYNTHETIC_BENCHMARK
RDS-5297,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-02-21T20:00:00,2025-02-21T20:34:54,34.9,2025-02-21T20:24:54,24.9,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.87,SYNTHETIC_BENCHMARK
RDS-5090,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-27T10:00:00,2025-06-27T10:45:18,45.3,2025-06-27T10:10:48,10.8,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.86,SYNTHETIC_BENCHMARK
RDS-5126,MedFlow,3.2,Application,Medication order entry frozen or queue not processing,2025-01-17T14:00:00,2025-01-17T14:34:48,34.8,2025-01-17T14:15:18,15.3,MedFlow Order Queue Clear and Process Recycle,knowledge_article,RG-003,KA-008,1,0.75,SYNTHETIC_BENCHMARK
RDS-5295,HL7Router,3.5,Integration,HL7 message queue delayed or stuck in pending,2025-07-01T09:00:00,2025-07-01T09:49:12,49.2,2025-07-01T09:17:24,17.4,HL7 Router Queue Purge and Resend,knowledge_article,RG-006,KA-031,1,0.75,SYNTHETIC_BENCHMARK
RDS-5059,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-06-26T10:00:00,2025-06-26T10:40:00,40.0,2025-06-26T10:20:00,20.0,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.74,SYNTHETIC_BENCHMARK
RDS-5198,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-03-09T08:00:00,2025-03-09T08:29:24,29.4,2025-03-09T08:17:30,17.5,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.72,SYNTHETIC_BENCHMARK
RDS-5193,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-02-24T18:00:00,2025-02-24T18:47:24,47.4,2025-02-24T18:24:36,24.6,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,0.8,SYNTHETIC_BENCHMARK
RDS-5002,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-06-23T19:00:00,2025-06-23T19:42:06,42.1,2025-06-23T19:08:54,8.9,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.71,SYNTHETIC_BENCHMARK
RDS-5186,AuthGuard,2.8,Authentication,Clinical application SSO login failure across nursing stations,2025-06-16T14:00:00,2025-06-16T14:29:06,29.1,2025-06-16T14:12:36,12.6,AuthGuard LDAP Gateway Synchronizer Reset,knowledge_article,RG-004,KA-012,1,1.0,SYNTHETIC_BENCHMARK
RDS-5046,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-01-18T18:00:00,2025-01-18T18:41:18,41.3,2025-01-18T18:12:00,12.0,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,0,0.37,SYNTHETIC_BENCHMARK
RDS-5001,LabSys,5.4,Application,Lab results not loading or displaying blank screen,2025-06-13T09:00:00,2025-06-13T09:18:42,18.7,2025-06-13T09:10:48,10.8,Restart LabSys Application Service,knowledge_article,RG-001,KA-014,1,0.92,SYNTHETIC_BENCHMARK
RDS-5058,PACSView,4.1,Performance,PACS image loading slow or hanging in radiology,2025-07-09T15:00:00,2025-07-09T15:40:12,40.2,2025-07-09T15:15:06,15.1,PACS Image Cache Purge and DICOM Router Cycle,knowledge_article,RG-002,KA-019,1,0.72,SYNTHETIC_BENCHMARK
